Требование:,"Логин должен быть уникален для каждого пользователя, система отображает сообщение ""Логин занят"";
Пароль содержит буквы верхнего и нижнего регистра, цифры, символы для надежности пароля и не менее 6 символов. Если пароль истек, сотрудник не может использовать тот же",,,,
Окружение:,"ASUS  Windows 10, GoogleChrome 116.0.5845.96",,,,
,,,,,
Предусловие:,Пользователь уже зарегистирирован в системе,,,,
,,,,,
ID,Проверка,Тестовые данные,Статус прохождения,Ссылка на дефект,Комментарий
Функциональные проверки,,,,,
Check-001,Авторизация существующего пользователя с валидными данными: логин и пароль,"Логин: Gogol
Пароль: @1234Gi",,,
Check-002,Авторизация существующего пользователя с валидными данными: логин и пароль при помощи Enter,"Логин: Gogol
Пароль: @1234Gi",,,
Check-003,Авторизация несуществующего пользователя,"Логин: fgggg
Пароль: @1234GiJ",,,
Check-004,"Авторизация существующего пользователя с невалидным ""логином""","Логин: GGGGG
Пароль: @1234Gi",,,
Check-005,"Авторизация существующего пользователя с невалидным ""паролем""","Логин: Gogol
Пароль: @123OOOOO",,,
Check-006,"Авторизация существующего пользователя с пустым полем ""Логин""",Пароль: @1234Gi,,,
Check-007,"Авторизация существующего пользователя с пустым полем ""Пароль""","Логин: Gogol
",,,
Check-008,"Авторизация с пустыми полями ""Логин"" и ""Пароль""",,,,
Check-009,Авторизация заблокированным пользователем в системе,"Логин: Solo
Пароль: @1234So",,,"Для улучшения, если пользователь нарушил правила сайта"
Check-010,Авторизация пользователя с полным доступом в системе,"Логин: Lisa
Пароль: @1234Li",,,
Check-011,Авторизация пользователя с минимальными правами для просмотра,"Логин: Star
Пароль: @1234St",,,
Check-012,Авторизация пользователя с определенной ролью,"Логин: Volk
Пароль: @1234Vo
",,,"Роли:
Бухгалтеры
Руководители
Специалисты"
API проверка:,"Отправить POST https://fix-sso.sbis.ru/auth/service/?x_version=23.4225-5 запрос с телом {jsonrpc: ""2.0"", protocol: 6, method: ""SAP.Authenticate"",…}
jsonrpc: ""2.0""
method: ""SAP.Authenticate""
params: {data: {d: [""Gogol"", ""@12345Gi"", false, false, null, true,…],…}}",,,,Данные взяла из Devtools -> Network
Нефункциональные проверки,,,,,
Check-013,"Проверка наличия Placeholder для поля ""Пароль""",,,,
Check-015,"Проверка наличия Placeholder для поля ""Логин""",,,,
Check-016,"Поле ""Пароль"" находится в замаскированном виде",,,,
Check-017,"В поле ""Пароль"" находится иконка в виде глаза",,,,
Check-018,Страница с формой авторизации при обновлении загружается менее 3 сек.,,,,
Check-019,"Форма авторизации доступна для использования в браузерах
Chrome, Firefox, Safari, Yandex",,,,
Check-020,"Форма регистрации отображается корректно на экранах
1920 *1080, 1280 * 1024, 1366*768",,,,
Check-021,Форма авторизации переведена согласно выбранной локали (RU),,,,
Check-022,Проверка работы безопасного соединения с сайтом,,,,
Дополнительные проверки,,,,,
Check-023,Авторизация по электронной подписи,,,,
Check-024,Авторизация через соц сети,,,,
Check-025,"Проверка ""Забыли пароль""",,,,
Check-026,"Настройка безопасности с номером телефона или ""Пропустить"" после авторизации пользователя","Логин: Folk
Пароль: 123456Fo",,,
Check-027,Смена данных авторизации пользователем в личной карточке ,"Старый логин: Google
Старый пароь: @1234Gi

Новый логин: Bird
Новый пароль: 12345Bird",,,
Check-028,Авторизация по новым данным после смены логина и пароля,"Логин: Bird
Пароль: 12345Bird",,,
Check-029,Авторизация после смены пароля по старым данным (неуспешная авторизация),"Логин: Gogol
Пароль: @1234Gi",,,
Check-030,Логаут из системы СБИС пользователя,"Логин: Bird
Пароль: 12345Bird",,,
Check-031,Авторизация в системе после отмены логаута,"Логин: Bird
Пароль: 12345Bird",,,
Check-032,"Успешная авторизация,возврат на предыдущую страницу","Логин: Bird
Пароль: 12345Bird",,,
Check-033,Авторизация по несуществующему логину и паролю несколько раз подряд,"Логин: Baza
Пароль: @1233Baza",,,
